occupation_d,¿Gestionas personas como parte de tu trabajo actual?,¿Los empleados que gestionas trabajan de forma remota alguna vez?,Tengo discreción para ofrecer o denegar el trabajo remoto a los empleados que gestiono,Ofrecer trabajo remoto me ayuda a retener empleados,Ofrecer trabajo remoto me ayuda a reclutar empleados,Mi equipo funciona bien cuando trabajan de forma remota,"Me resulta fácil gestionar empleados de forma remota (por ejemplo, asignar tareas y controlar el progreso)",Me resulta fácil gestionar empleados con bajo rendimiento de forma remota,Me siento bien preparado/a para gestionar empleados de forma remota,Gestionar personas de forma remota me hace estar más enfocado/a en los resultados,Me resulta fácil contactar a mis empleados cuando trabajan de forma remota
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,0.0,0.0
Apoyo Clerical y de Oficina,Yes,Yes,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Profesionales de la Educación,Yes,Yes,0.0,-1.0,-2.0,0.0,-2.0,-2.0,-1.0,-1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Oficios de Construcción,Yes,No,40.0,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
Otros Obreros,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,0.0,-1.0,0.0,-1.0,-2.0,-1.0,-1.0
Gerentes Especialistas,Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Clerks de Consultas y Recepcionistas,Yes,No,-10.0,,,,,,,,
Clerical General,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de la Educación,Yes,No,-30.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Profesionales de la Educación,Yes,Yes,20.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,-2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,-20.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0
Agricultores y Gerentes de Granjas,Yes,Yes,40.0,2.0,2.0,1.0,0.0,0.0,-1.0,-1.0,-1.0
Profesionales de la Salud,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-20.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Conductores de Carretera y Ferrocarril,No,,,,,,,,,,
Asistentes y Vendedores,Yes,No,50.0,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
Profesionales de la Salud,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Servicio de Protección,Yes,Yes,50.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
Servicio de Protección,Yes,Yes,50.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,Yes,No,10.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Otros Técnicos y Oficios,No,,,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
Cuidadores y Asistentes,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,No,-20.0,,,,,,,,
Clerical General,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
Soporte de Ventas,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Apoyo de Salud y Bienestar,Yes,Yes,10.0,-2.0,1.0,-2.0,2.0,2.0,0.0,2.0,0.0
Profesionales de la Salud,Yes,Yes,20.0,-2.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0
Limpiadores y Lavandería,Yes,Yes,50.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Otros Técnicos y Oficios,No,,,,,,,,,,
Conductores de Carretera y Ferrocarril,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,20.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0
Gerentes Especialistas,Yes,Yes,20.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Proceso de Fábrica,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,Yes,No,40.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-30.0,2.0,1.0,0.0,-1.0,-1.0,-2.0,-1.0,1.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,20.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Agricultores y Gerentes de Granjas,No,,,,,,,,,,
Cuidadores y Asistentes,Yes,Yes,50.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
Apoyo Clerical y de Oficina,Yes,No,0.0,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Oficios de Automoción e Ingeniería,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,40.0,1.0,2.0,1.0,1.0,-1.0,-2.0,1.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Profesionales de la Salud,Yes,No,30.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,1.0,-1.0,-1.0,-2.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
Agricultores y Gerentes de Granjas,Yes,Yes,10.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,20.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
Cuidadores y Asistentes,Yes,Yes,-50.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,-20.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,2.0,2.0,0.0,-1.0,0.0,-2.0,0.0,0.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
Soporte de Ventas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Profesionales de la Salud,Yes,Yes,20.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Asistentes y Vendedores,Yes,Yes,50.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Oficios de Automoción e Ingeniería,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Representantes y Agentes de Ventas,Yes,Yes,0.0,1.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clerical General,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
Soporte de Ventas,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,20.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,50.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,0.0,,,,,,,,
Clerical General,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Gerentes Especialistas,Yes,Yes,30.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0
Gerentes Especialistas,Yes,Yes,-10.0,2.0,1.0,1.0,2.0,2.0,-1.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-10.0,2.0,2.0,2.0,1.0,-1.0,-2.0,0.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,0.0,0.0,0.0,2.0,-1.0,-2.0,0.0,1.0
Gerentes Especialistas,Yes,Yes,40.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
Oficios de Construcción,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,No,20.0,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,0.0,-2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-20.0,0.0,1.0,1.0,1.0,1.0,-1.0,2.0,-2.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,-20.0,,,,,,,,
Profesionales de la Educación,Yes,Yes,30.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,30.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,0.0,1.0,0.0,1.0,2.0,1.0,-1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Operadores de Equipos Móviles,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-10.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Clerical General,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-30.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,-10.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,1.0,1.0,0.0,-1.0,-2.0,1.0,0.0,-1.0
Agricultores y Gerentes de Granjas,Yes,Yes,10.0,1.0,2.0,1.0,0.0,-1.0,0.0,1.0,0.0
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,30.0,,,,,,,,
Obreros de Construcción y Minería,No,,,,,,,,,,
Profesionales de la Salud,Yes,Yes,40.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,Yes,No,10.0,,,,,,,,
Clerks Numéricos,Yes,Yes,20.0,0.0,0.0,0.0,-1.0,1.0,2.0,1.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,No,40.0,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,2.0,0.0,1.0,1.0,-1.0,-1.0,-1.0
Gerentes Especialistas,Yes,Yes,0.0,-2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Oficios de Construcción,Yes,No,40.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,40.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,20.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,50.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Profesionales de la Salud,Yes,No,0.0,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
