occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,La dirección desalienta el trabajo remoto,Mi bienestar mental,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Gestión deficiente,Ciberseguridad,La cantidad de horas que trabajo,Mi satisfacción laboral
Apoyo de Salud y Bienestar,Tengo tareas que no se pueden realizar de forma remota,Mi espacio de trabajo,Mi satisfacción laboral,Gestionar mis compromisos personales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Clerical General,Falta de motivación,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de la Salud,Falta de motivación,Sentirse excluido y/o aislado,Gestionar mis compromisos personales,Mi satisfacción laboral
Representantes y Agentes de Ventas,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mis gastos diarios,Mis relaciones laborales
Profesionales de la Educación,El software y los sistemas de mi organización,Responsabilidades de cuidado,Mis gastos diarios,La cantidad de horas que trabajo
Profesionales de la Educación,La dirección desalienta el trabajo remoto,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Otros Clericales y Administrativos,Sentirse excluido y/o aislado,Ciberseguridad,La cantidad de horas que trabajo,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Dificultad para colaborar de forma remota,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Salud,Mi espacio de trabajo,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Gestión deficiente,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Educación,Sentirse excluido y/o aislado,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Responsabilidades de cuidado,Falta de motivación,La cantidad de horas que trabajo,Gestionar mis responsabilidades familiares
Profesionales de Tecnologías de la Información y Comunicación,Gestión deficiente,Falta de motivación,Mi satisfacción laboral,Mis oportunidades de socializar
Clerks Numéricos,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones personales
Gerentes Especialistas,Falta de motivación,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Gestión deficiente,La cantidad de horas que trabajo,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Falta de motivación,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis compromisos personales
Gerentes Especialistas,Equipos de IT ,Ciberseguridad,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Clerical General,Falta de motivación,Sentirse excluido y/o aislado,Mis oportunidades de aprendizaje en el trabajo,Preparación para el trabajo y el desplazamiento
"Profesionales Legales, Sociales y de Bienestar",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Mi situación de vida,Dificultad para colaborar de forma remota,Mis relaciones personales,Preparación para el trabajo y el desplazamiento
Gerentes Especialistas,Dificultad para colaborar de forma remota,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales Legales, Sociales y de Bienestar",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Gerentes Especialistas,Falta de motivación,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Equipos de IT ,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de la Salud,Sentirse excluido y/o aislado,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Asistentes Personales y Secretarias,Sentirse excluido y/o aislado,Falta de habilidades para trabajar de forma remota,Mis relaciones personales,Mi bienestar mental
Profesionales de la Educación,Sentirse excluido y/o aislado,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Oficios de Electrotecnología y Telecomunicaciones,Equipos de IT ,Conectividad (conexión a internet),Mis relaciones laborales,Mi satisfacción laboral
"Profesionales Legales, Sociales y de Bienestar",Responsabilidades de cuidado,Tengo tareas que no se pueden realizar de forma remota,Mi satisfacción laboral,Mi equilibrio entre el trabajo y la vida personal
"Gerentes de Hospitalidad, Retail y Servicios",Mi situación de vida,Sentirse excluido y/o aislado,Mis oportunidades de socializar,Mis gastos diarios
Asistentes Personales y Secretarias,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Gestión deficiente,Falta de habilidades para trabajar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Oficios de Construcción,Falta de habilidades para trabajar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Dificultad para colaborar de forma remota,Falta de motivación,Mis gastos diarios,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi bienestar mental,Mis relaciones laborales
Gerentes Especialistas,Conectividad (conexión a internet),Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de las Artes y los Medios,Sentirse excluido y/o aislado,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mi satisfacción laboral
Otros Clericales y Administrativos,Mi situación de vida,El software y los sistemas de mi organización,Gestionar mis responsabilidades familiares,Mi satisfacción laboral
"Gerentes de Hospitalidad, Retail y Servicios",Dificultad para colaborar de forma remota,Ciberseguridad,La cantidad de horas que trabajo,Mis relaciones laborales
Gerentes Especialistas,Gestión deficiente,Falta de habilidades para trabajar de forma remota,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Ciberseguridad,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de habilidades para trabajar de forma remota,Falta de motivación,Mis gastos diarios,Mis relaciones personales
"Profesionales de Negocios, Recursos Humanos y Marketing",Responsabilidades de cuidado,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones personales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Clerical General,Conectividad (conexión a internet),Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
Asistentes y Vendedores,Responsabilidades de cuidado,Ciberseguridad,Mis gastos diarios,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Ciberseguridad,Responsabilidades de cuidado,La cantidad de horas que trabajo,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Gestión deficiente,Mis gastos diarios,La cantidad de horas que trabajo
Profesionales de la Educación,Falta de motivación,Conectividad (conexión a internet),Gestionar mis compromisos personales,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Gestión deficiente,Mis relaciones laborales,Mis gastos diarios
Clerical General,Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mis oportunidades de socializar,La cantidad de horas que trabajo
Asistentes Personales y Secretarias,Falta de motivación,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Mis oportunidades de aprendizaje en el trabajo,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Responsabilidades de cuidado,Mi bienestar mental,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Equipos de IT ,Mi bienestar mental,La cantidad de horas que trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Equipos de IT ,Dificultad para colaborar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Profesionales de la Educación,Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,La cantidad de horas que trabajo,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Falta de motivación,Ciberseguridad,Mis gastos diarios,Mis oportunidades de socializar
"Gerentes de Hospitalidad, Retail y Servicios",Conectividad (conexión a internet),Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Tengo tareas que no se pueden realizar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mi satisfacción laboral,Mis oportunidades de socializar
Profesionales de la Educación,Conectividad (conexión a internet),Mi situación de vida,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
